question,answer
Who is the instructor for Modeling & Simulation?,The instructor of Modeling & Simulation is Julian..
How many credits is Modeling & Simulation worth?,Modeling & Simulation is worth 3.0 credits.
When and where is Modeling & Simulation held?,"Modeling & Simulation is held at Tuesday 2, 3. in Felicine and joint laboratory habits (302)."
What type of course is Modeling & Simulation?,Modeling & Simulation is classified as a Theory course.
Are there any additional notes for Modeling & Simulation?,Notes: Nan
What is the course code for Modeling & Simulation?,The course code for Modeling & Simulation is MECH3207.
Who is the instructor for Modeling & Simulation?,The instructor of Modeling & Simulation is Julian..
How many credits is Modeling & Simulation worth?,Modeling & Simulation is worth 3.0 credits.
When and where is Modeling & Simulation held?,"Modeling & Simulation is held at Number 6, 7, 8. in Felicine and joint laboratory habits (302)."
What type of course is Modeling & Simulation?,Modeling & Simulation is classified as a Theory course.
Are there any additional notes for Modeling & Simulation?,Notes: Nan
What is the course code for Energy Engineering?,The course code for Energy Engineering is MECH3208.
Who is the instructor for Energy Engineering?,The instructor of Energy Engineering is Yoon-lin..
How many credits is Energy Engineering worth?,Energy Engineering is worth 3.0 credits.
When and where is Energy Engineering held?,"Energy Engineering is held at throat 2, 3, 4. in Mechanics (510)."
What type of course is Energy Engineering?,Energy Engineering is classified as a Theory course.
Are there any additional notes for Energy Engineering?,Notes: Nan
What is the course code for Energy Engineering?,The course code for Energy Engineering is MECH3208.
Who is the instructor for Energy Engineering?,The instructor of Energy Engineering is Kim Jong-sook.
How many credits is Energy Engineering worth?,Energy Engineering is worth 3.0 credits.
When and where is Energy Engineering held?,"Energy Engineering is held at Number 6, 7, 8. in Mechanics (501)."
What type of course is Energy Engineering?,Energy Engineering is classified as a Theory course.
Are there any additional notes for Energy Engineering?,Notes: Nan
What is the course code for Auto Control?,The course code for Auto Control is MECH3211.
Who is the instructor for Auto Control?,The instructor of Auto Control is Immchaum.
How many credits is Auto Control worth?,Auto Control is worth 3.0 credits.
When and where is Auto Control held?,"Auto Control is held at Gold 1, 2, 3. in Mechanics (502)."
What type of course is Auto Control?,Auto Control is classified as a Theory course.
Are there any additional notes for Auto Control?,Notes: Nan
What is the course code for Auto Control?,The course code for Auto Control is MECH3211.
Who is the instructor for Auto Control?,The instructor of Auto Control is Immchaum.
How many credits is Auto Control worth?,Auto Control is worth 3.0 credits.
When and where is Auto Control held?,"Auto Control is held at Gold 6,7,8 in Mechanics (502)."
What type of course is Auto Control?,Auto Control is classified as a Theory course.
Are there any additional notes for Auto Control?,Notes: Nan
What is the course code for Auto Control?,The course code for Auto Control is MECH3211.
Who is the instructor for Auto Control?,The instructor of Auto Control is Kim Young-suk.
How many credits is Auto Control worth?,Auto Control is worth 3.0 credits.
When and where is Auto Control held?,"Auto Control is held at Fire 2, 3, 4. in Mechanics (502)."
What type of course is Auto Control?,Auto Control is classified as a Theory course.
Are there any additional notes for Auto Control?,Notes: Nan
What is the course code for Molecular Engineering?,The course code for Molecular Engineering is MECH3213.
Who is the instructor for Molecular Engineering?,The instructor of Molecular Engineering is Padre Hyun..
How many credits is Molecular Engineering worth?,Molecular Engineering is worth 3.0 credits.
When and where is Molecular Engineering held?,"Molecular Engineering is held at Woods 1, 2, 3. in Mechanical (606)."
What type of course is Molecular Engineering?,Molecular Engineering is classified as a Theory course.
Are there any additional notes for Molecular Engineering?,Notes: Nan
What is the course code for Molecular Engineering?,The course code for Molecular Engineering is MECH3213.
Who is the instructor for Molecular Engineering?,The instructor of Molecular Engineering is Kim Ji-suk.
How many credits is Molecular Engineering worth?,Molecular Engineering is worth 3.0 credits.
When and where is Molecular Engineering held?,"Molecular Engineering is held at Thirst 6,7,8 in Mechanical (606)."
What type of course is Molecular Engineering?,Molecular Engineering is classified as a Theory course.
Are there any additional notes for Molecular Engineering?,Notes: Nan
What is the course code for Lead Design 3?,The course code for Lead Design 3 is GUID300002.
Who is the instructor for Lead Design 3?,The instructor of Lead Design 3 is Seo-hyun.
How many credits is Lead Design 3 worth?,Lead Design 3 is worth 1.0 credits.
When and where is Lead Design 3 held?,Lead Design 3 is held at MONTH 5 in Mechanical tube (512).
What type of course is Lead Design 3?,Lead Design 3 is classified as a Theory course.
Are there any additional notes for Lead Design 3?,Notes: Nan
What is the course code for Lead Design 3?,The course code for Lead Design 3 is GUID300002.
Who is the instructor for Lead Design 3?,The instructor of Lead Design 3 is Seo-hyun.
How many credits is Lead Design 3 worth?,Lead Design 3 is worth 1.0 credits.
When and where is Lead Design 3 held?,Lead Design 3 is held at Tub 5 in Mechanical tube (512).
What type of course is Lead Design 3?,Lead Design 3 is classified as a Theory course.
Are there any additional notes for Lead Design 3?,Notes: Nan
What is the course code for Optical Design?,The course code for Optical Design is MECH3214.
Who is the instructor for Optical Design?,The instructor of Optical Design is South-Yun-Yun..
How many credits is Optical Design worth?,Optical Design is worth 3.0 credits.
When and where is Optical Design held?,"Optical Design is held at Woods 1, 2, 3. in Mechanical tube (513)."
What type of course is Optical Design?,Optical Design is classified as a Theory course.
Are there any additional notes for Optical Design?,Notes: Nan
What is the course code for Optical Design?,The course code for Optical Design is MECH3214.
Who is the instructor for Optical Design?,The instructor of Optical Design is Julian..
How many credits is Optical Design worth?,Optical Design is worth 3.0 credits.
When and where is Optical Design held?,"Optical Design is held at Month 1,3 in Mechanical (607)."
What type of course is Optical Design?,Optical Design is classified as a Theory course.
Are there any additional notes for Optical Design?,Notes: Nan
What is the course code for Propulsion Engineering?,The course code for Propulsion Engineering is MECH3215.
Who is the instructor for Propulsion Engineering?,The instructor of Propulsion Engineering is Iminu.
How many credits is Propulsion Engineering worth?,Propulsion Engineering is worth 3.0 credits.
When and where is Propulsion Engineering held?,"Propulsion Engineering is held at Fire 2, 3, 4. in Mechanics (510)."
What type of course is Propulsion Engineering?,Propulsion Engineering is classified as a Theory course.
Are there any additional notes for Propulsion Engineering?,Notes: Nan
What is the course code for Propulsion Engineering?,The course code for Propulsion Engineering is MECH3215.
Who is the instructor for Propulsion Engineering?,The instructor of Propulsion Engineering is Iminu.
How many credits is Propulsion Engineering worth?,Propulsion Engineering is worth 3.0 credits.
When and where is Propulsion Engineering held?,"Propulsion Engineering is held at Month 2,3,4 in Mechanics (510)."
What type of course is Propulsion Engineering?,Propulsion Engineering is classified as a Theory course.
Are there any additional notes for Propulsion Engineering?,Notes: Nan
What is the course code for 3D Digital?,The course code for 3D Digital is MECH4201.
Who is the instructor for 3D Digital?,The instructor of 3D Digital is Ji-woo..
How many credits is 3D Digital worth?,3D Digital is worth 3.0 credits.
When and where is 3D Digital held?,"3D Digital is held at Tuesday 6,7,8 in Mechanical (607)."
What type of course is 3D Digital?,3D Digital is classified as a Theory course.
Are there any additional notes for 3D Digital?,Notes: Nan
What is the course code for Matlab UseCAE?,The course code for Matlab UseCAE is MECH4202.
Who is the instructor for Matlab UseCAE?,The instructor of Matlab UseCAE is Kim Ji-suk.
How many credits is Matlab UseCAE worth?,Matlab UseCAE is worth 3.0 credits.
When and where is Matlab UseCAE held?,"Matlab UseCAE is held at Number 6, 7, 8. in Mechanical (606)."
What type of course is Matlab UseCAE?,Matlab UseCAE is classified as a Theory course.
Are there any additional notes for Matlab UseCAE?,Notes: Nan
What is the course code for Lead Design 4?,The course code for Lead Design 4 is GUID400002.
Who is the instructor for Lead Design 4?,The instructor of Lead Design 4 is Kim Young-suk.
How many credits is Lead Design 4 worth?,Lead Design 4 is worth 1.0 credits.
When and where is Lead Design 4 held?,Lead Design 4 is held at MONTH 5 in Mechanical tube (513).
What type of course is Lead Design 4?,Lead Design 4 is classified as a Theory course.
Are there any additional notes for Lead Design 4?,Notes: Nan
What is the course code for Lead Design 4?,The course code for Lead Design 4 is GUID400002.
Who is the instructor for Lead Design 4?,The instructor of Lead Design 4 is Kim Young-suk.
How many credits is Lead Design 4 worth?,Lead Design 4 is worth 1.0 credits.
When and where is Lead Design 4 held?,Lead Design 4 is held at Tub 5 in Mechanical tube (513).
What type of course is Lead Design 4?,Lead Design 4 is classified as a Theory course.
Are there any additional notes for Lead Design 4?,Notes: Nan
What is the course code for Capston & design?,The course code for Capston & design is PROJ4102.
Who is the instructor for Capston & design?,The instructor of Capston & design is Lee Hul-chul.
How many credits is Capston & design worth?,Capston & design is worth 3.0 credits.
When and where is Capston & design held?,"Capston & design is held at Number 1, 2, 3. in Mechanics (501)."
