question_en,answer_en
Who teaches Introduction to design?,The instructor of Introduction to designis Hongseok Yoon.
Who is teaching Introduction to design?,The instructor of Introduction to designis Hongseok Yoon.
Who is the professor for Introduction to design?,The instructor of Introduction to designis Hongseok Yoon.
Who is teaching Introduction to design?,The instructor of Introduction to designis Hongseok Yoon.
When is Introduction to designheld?,"Introduction to designis held on Mon6,7,8."
At what time is Introduction to designheld?,"Introduction to designis held on Mon6,7,8."
At what time is Introduction to designheld?,"Introduction to designis held on Mon6,7,8."
At what time is Introduction to designheld?,"Introduction to designis held on Mon6,7,8."
Where is Introduction to designlocated?,Introduction to designtakes place in Mechanical Building (501).
Where does Introduction to designlocated?,Introduction to designtakes place in Mechanical Building (501).
Where does Introduction to designlocated?,Introduction to designtakes place in Mechanical Building (501).
At what location is Introduction to designlocated?,Introduction to designtakes place in Mechanical Building (501).
What is the credit of Introduction to design?,Introduction to designis worth 3.0 credits.
How many credits is of Introduction to design?,Introduction to designis worth 3.0 credits.
How many credits is of Introduction to design?,Introduction to designis worth 3.0 credits.
How much credit does of Introduction to design?,Introduction to designis worth 3.0 credits.
Who teaches Introduction to design?,"The instructor of Introduction to designis Ha Ji-hwan, Yoon Hong-seok."
Who instructs Introduction to design?,"The instructor of Introduction to designis Ha Ji-hwan, Yoon Hong-seok."
Who is teaching Introduction to design?,"The instructor of Introduction to designis Ha Ji-hwan, Yoon Hong-seok."
Who is the professor for Introduction to design?,"The instructor of Introduction to designis Ha Ji-hwan, Yoon Hong-seok."
When is Introduction to designheld?,"Introduction to designis held on Wed6,7,8."
What time is Introduction to designheld?,"Introduction to designis held on Wed6,7,8."
What time is Introduction to designheld?,"Introduction to designis held on Wed6,7,8."
What time is Introduction to designheld?,"Introduction to designis held on Wed6,7,8."
Where is Introduction to designlocated?,Introduction to designtakes place in Mechanical Building (607).
Where does Introduction to designlocated?,Introduction to designtakes place in Mechanical Building (607).
Where does Introduction to designlocated?,Introduction to designtakes place in Mechanical Building (607).
Where does Introduction to designlocated?,Introduction to designtakes place in Mechanical Building (607).
What is the credit of Introduction to design?,Introduction to designis worth 3.0 credits.
How much credit does of Introduction to design?,Introduction to designis worth 3.0 credits.
What’s the credit count for of Introduction to design?,Introduction to designis worth 3.0 credits.
How many credits is of Introduction to design?,Introduction to designis worth 3.0 credits.
Who teaches Introduction to design?,The instructor of Introduction to designis Jeong Gil-eon.
Who instructs Introduction to design?,The instructor of Introduction to designis Jeong Gil-eon.
Who is the professor for Introduction to design?,The instructor of Introduction to designis Jeong Gil-eon.
Who is teaching Introduction to design?,The instructor of Introduction to designis Jeong Gil-eon.
When is Introduction to designheld?,"Introduction to designis held on Thu6,7,8."
When does Introduction to designheld?,"Introduction to designis held on Thu6,7,8."
What time is Introduction to designheld?,"Introduction to designis held on Thu6,7,8."
When does Introduction to designheld?,"Introduction to designis held on Thu6,7,8."
Where is Introduction to designlocated?,Introduction to designtakes place in Mechanical Building (607).
Where does Introduction to designlocated?,Introduction to designtakes place in Mechanical Building (607).
In which classroom is Introduction to designlocated?,Introduction to designtakes place in Mechanical Building (607).
Where does Introduction to designlocated?,Introduction to designtakes place in Mechanical Building (607).
What is the credit of Introduction to design?,Introduction to designis worth 3.0 credits.
How many credits is of Introduction to design?,Introduction to designis worth 3.0 credits.
How much credit does of Introduction to design?,Introduction to designis worth 3.0 credits.
How much credit does of Introduction to design?,Introduction to designis worth 3.0 credits.
Who teaches statics?,The instructor of staticsis bride hyeon.
Who is teaching statics?,The instructor of staticsis bride hyeon.
Who instructs statics?,The instructor of staticsis bride hyeon.
Who instructs statics?,The instructor of staticsis bride hyeon.
When is staticsheld?,"staticsis held on Mon6,7,8."
When does staticsheld?,"staticsis held on Mon6,7,8."
What time is staticsheld?,"staticsis held on Mon6,7,8."
What time is staticsheld?,"staticsis held on Mon6,7,8."
Where is staticslocated?,staticstakes place in Mechanical Building (606).
At what location is staticslocated?,staticstakes place in Mechanical Building (606).
At what location is staticslocated?,staticstakes place in Mechanical Building (606).
At what location is staticslocated?,staticstakes place in Mechanical Building (606).
What is the credit of statics?,staticsis worth 3.0 credits.
How much credit does of statics?,staticsis worth 3.0 credits.
What’s the credit count for of statics?,staticsis worth 3.0 credits.
What’s the credit count for of statics?,staticsis worth 3.0 credits.
Who teaches statics?,The instructor of staticsis bride hyeon.
Who is the professor for statics?,The instructor of staticsis bride hyeon.
Who is the professor for statics?,The instructor of staticsis bride hyeon.
Who is the professor for statics?,The instructor of staticsis bride hyeon.
When is staticsheld?,"staticsis held on Mon1,2,3."
What time is staticsheld?,"staticsis held on Mon1,2,3."
When does staticsheld?,"staticsis held on Mon1,2,3."
When does staticsheld?,"staticsis held on Mon1,2,3."
Where is staticslocated?,staticstakes place in Mechanical Building (606).
Where does staticslocated?,staticstakes place in Mechanical Building (606).
At what location is staticslocated?,staticstakes place in Mechanical Building (606).
At what location is staticslocated?,staticstakes place in Mechanical Building (606).
What is the credit of statics?,staticsis worth 3.0 credits.
What’s the credit count for of statics?,staticsis worth 3.0 credits.
What’s the credit count for of statics?,staticsis worth 3.0 credits.
What’s the credit count for of statics?,staticsis worth 3.0 credits.
Who teaches statics?,The instructor of staticsis Kim Ji-seok.
Who instructs statics?,The instructor of staticsis Kim Ji-seok.
Who is the professor for statics?,The instructor of staticsis Kim Ji-seok.
Who instructs statics?,The instructor of staticsis Kim Ji-seok.
When is staticsheld?,"staticsis held on Mon6,7,8."
At what time is staticsheld?,"staticsis held on Mon6,7,8."
At what time is staticsheld?,"staticsis held on Mon6,7,8."
When does staticsheld?,"staticsis held on Mon6,7,8."
Where is staticslocated?,staticstakes place in Mechanical Building (513).
Where does staticslocated?,staticstakes place in Mechanical Building (513).
At what location is staticslocated?,staticstakes place in Mechanical Building (513).
In which classroom is staticslocated?,staticstakes place in Mechanical Building (513).
What is the credit of statics?,staticsis worth 3.0 credits.
What’s the credit count for of statics?,staticsis worth 3.0 credits.
How much credit does of statics?,staticsis worth 3.0 credits.
How much credit does of statics?,staticsis worth 3.0 credits.
Who teaches statics?,The instructor of staticsis Kim Ji-seok.
Who instructs statics?,The instructor of staticsis Kim Ji-seok.
Who instructs statics?,The instructor of staticsis Kim Ji-seok.
Who instructs statics?,The instructor of staticsis Kim Ji-seok.
When is staticsheld?,"staticsis held on Tue1,2,3."
When does staticsheld?,"staticsis held on Tue1,2,3."
At what time is staticsheld?,"staticsis held on Tue1,2,3."
At what time is staticsheld?,"staticsis held on Tue1,2,3."
Where is staticslocated?,staticstakes place in Mechanical Building (513).
At what location is staticslocated?,staticstakes place in Mechanical Building (513).
In which classroom is staticslocated?,staticstakes place in Mechanical Building (513).
Where does staticslocated?,staticstakes place in Mechanical Building (513).
What is the credit of statics?,staticsis worth 3.0 credits.
What’s the credit count for of statics?,staticsis worth 3.0 credits.
How many credits is of statics?,staticsis worth 3.0 credits.
How many credits is of statics?,staticsis worth 3.0 credits.
Who teaches Career Planning 1 (Self-understanding and college life)?,The instructor of Career Planning 1 (Self-understanding and college life)is Chaewook Lim.
Who is teaching Career Planning 1 (Self-understanding and college life)?,The instructor of Career Planning 1 (Self-understanding and college life)is Chaewook Lim.
Who is the professor for Career Planning 1 (Self-understanding and college life)?,The instructor of Career Planning 1 (Self-understanding and college life)is Chaewook Lim.
Who instructs Career Planning 1 (Self-understanding and college life)?,The instructor of Career Planning 1 (Self-understanding and college life)is Chaewook Lim.
When is Career Planning 1 (Self-understanding and college life)held?,Career Planning 1 (Self-understanding and college life)is held on Mon5.
When does Career Planning 1 (Self-understanding and college life)held?,Career Planning 1 (Self-understanding and college life)is held on Mon5.
What time is Career Planning 1 (Self-understanding and college life)held?,Career Planning 1 (Self-understanding and college life)is held on Mon5.
When does Career Planning 1 (Self-understanding and college life)held?,Career Planning 1 (Self-understanding and college life)is held on Mon5.
Where is Career Planning 1 (Self-understanding and college life)located?,Career Planning 1 (Self-understanding and college life)takes place in Mechanical Building (501).
In which classroom is Career Planning 1 (Self-understanding and college life)located?,Career Planning 1 (Self-understanding and college life)takes place in Mechanical Building (501).
At what location is Career Planning 1 (Self-understanding and college life)located?,Career Planning 1 (Self-understanding and college life)takes place in Mechanical Building (501).
